time_s,ecg_adc
0.000000,3649
0.004000,3072
0.008000,72
0.012000,3072
0.016000,2884
0.020000,3072
0.024000,1094
0.028000,3072
0.032000,3147
0.036000,3072
0.040000,828
0.044000,2816
0.048000,1851
0.052000,2816
0.056000,835
0.060000,3072
0.064000,2892
0.068000,3328
0.072000,1366
0.076000,3328
0.080000,1379
0.084000,3584
0.088000,3960
0.092000,0
0.096000,660
0.100000,256
0.104000,1942
0.108000,0
0.112000,394
0.116000,0
0.120000,1156
0.124000,3840
0.128000,2160
0.132000,3584
0.136000,1347
0.140000,2304
0.144000,3584
0.148000,1776
0.152000,2521
0.156000,1535
0.160000,462
0.164000,1279
0.168000,3525
0.172000,1279
0.176000,453
0.180000,1279
0.184000,1740
0.188000,1279
0.192000,2511
0.196000,1535
0.200000,2770
0.204000,1535
0.208000,470
0.212000,1535
0.216000,2526
0.220000,1791
0.224000,1766
0.228000,1791
0.232000,2294
0.236000,2063
0.240000,2297
0.244000,2063
0.248000,3330
0.252000,2048
0.256000,515
0.260000,2048
0.264000,3860
0.268000,2560
0.272000,329
0.276000,0
0.280000,3557
0.284000,3344
0.288000,4033
0.292000,2337
0.296000,3920
0.300000,3874
0.304000,1416
0.308000,3874
0.312000,3156
0.316000,2594
0.320000,2281
0.324000,529
0.328000,3906
0.332000,1281
0.336000,122
0.340000,3072
0.344000,3122
0.348000,2304
0.352000,1758
0.356000,511
0.360000,615
0.364000,3071
0.368000,1803
0.372000,1519
0.376000,3533
0.380000,1518
0.384000,746
0.388000,2030
0.392000,774
0.396000,2303
0.400000,2319
0.404000,2559
0.408000,2835
0.412000,2559
0.416000,3604
0.420000,2559
0.424000,278
0.428000,2559
0.432000,2332
0.436000,2815
0.440000,2856
0.444000,3071
0.448000,61
0.452000,3327
0.456000,3668
0.460000,3839
0.464000,2932
0.468000,255
0.472000,2963
0.476000,767
0.480000,3509
0.484000,1279
0.488000,2004
0.492000,1535
0.496000,2284
0.500000,2063
0.504000,3083
0.508000,2304
0.512000,3100
0.516000,2560
0.520000,1834
0.524000,2560
0.528000,3892
0.532000,2816
0.536000,3895
0.540000,2816
0.544000,1595
0.548000,2816
0.552000,2369
0.556000,3072
0.560000,1857
0.564000,2816
0.568000,2619
0.572000,2816
0.576000,2609
0.580000,2816
0.584000,1079
0.588000,2816
0.592000,2118
0.596000,3328
0.600000,2651
0.604000,3584
0.608000,1894
0.612000,3584
0.616000,637
0.620000,0
0.624000,404
0.628000,256
0.632000,404
0.636000,0
0.640000,2940
0.644000,3840
0.648000,623
0.652000,3584
0.656000,3675
